cod;gram;cnt;s09;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24
_1(2a);[player] [dist] Hook Shot (cnt PTS) ([player] cnt AST);12499;530.04;567.84;556.06;524.21;575.34;617.89;718.54;905.78;859.43;781.25;775.91;554.68;534.59;520.79;483.33;558.61
_1(2a);[player] [dist] Turnaround Hook Shot (cnt PTS) ([player] cnt AST);6234;106.46;121.95;166.29;137.8;171.99;188.78;221.21;360.18;354.47;389.48;519.82;441.82;441.5;486.02;559.09;492.67
_1(2a);[player] [dist] Jump Hook Shot (cnt PTS) ([player] cnt AST);2949;299.62;341.46;273.84;283.05;379;361.64;357.74;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(2a);[player] [dist] Driving Hook Shot (cnt PTS) ([player] cnt AST);2348;19.01;14.48;27.46;33.52;59.36;48.52;50.34;142.1;192.51;183.69;207.32;190.73;163.96;185.94;212.88;247.25
_1(2a);[player] [dist] Running Hook Shot (cnt PTS) ([player] cnt AST);1057;112.55;101.37;97.64;102.42;150.68;119.79;136.54;0.76;1.53;NA;NA;NA;NA;NA;NA;NA
_1(2a);[player] [dist] Hook Bank Shot (cnt PTS) ([player] cnt AST);756;19.77;22.1;30.51;33.52;30.44;32.6;35.09;54.71;45.84;38.11;54.88;43.74;47.82;34.01;45.45;56.78
_1(2a);[player] [dist] Turnaround Bank Hook Shot (cnt PTS) ([player] cnt AST);542;7.6;9.91;15.26;8.38;16.74;19.71;22.12;22.8;16.81;30.49;57.93;38.5;50.38;31.75;55.3;49.45
_1(2a);[player] [dist] Driving Bank Hook Shot (cnt PTS) ([player] cnt AST);389;1.52;1.52;NA;1.86;4.57;5.31;3.05;14.44;24.45;28.2;32.77;33.25;27.33;40.82;63.64;49.45
_1(2a);[player] [dist] Jump Bank Hook Shot (cnt PTS) ([player] cnt AST);80;6.84;8.38;6.86;8.38;11.42;12.13;8.39;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(2a);[player] Hook Shot (cnt PTS) ([player] cnt AST);72;2.28;9.15;NA;NA;NA;3.03;7.63;9.88;9.93;0.76;6.1;0.87;1.71;1.51;0.76;3.66
_1(2a);[player] [dist] Running Bank Hook Shot (cnt PTS) ([player] cnt AST);52;3.04;3.81;8.39;3.72;4.57;6.82;9.92;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(2a);[player] Turnaround Hook Shot (cnt PTS) ([player] cnt AST);28;0.76;1.52;NA;NA;NA;NA;0.76;3.8;6.88;1.52;0.76;1.75;2.56;NA;1.52;NA
_1(2a);[player] Driving Hook Shot (cnt PTS) ([player] cnt AST);17;1.52;0.76;NA;NA;0.76;NA;0.76;3.04;3.82;0.76;0.76;NA;NA;0.76;NA;NA
_1(2a);[player] Jump Hook Shot (cnt PTS) ([player] cnt AST);11;4.56;1.52;NA;NA;NA;NA;2.29;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(2a);[player] Running Hook Shot (cnt PTS) ([player] cnt AST);7;3.8;NA;NA;0.93;NA;NA;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(2a);[player] Driving Bank Hook Shot (cnt PTS) ([player] cnt AST);5;0.76;NA;NA;NA;NA;NA;NA;0.76;2.29;NA;NA;NA;NA;NA;NA;NA
_1(2a);[player] Turnaround Bank Hook Shot (cnt PTS) ([player] cnt AST);4;NA;NA;NA;NA;NA;NA;0.76;NA;1.53;NA;NA;NA;NA;NA;0.76;NA
_1(2a);[player] Hook Bank Shot (cnt PTS) ([player] cnt AST);3;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA;NA;NA;0.76;NA
_1(3);[player] [dist] Driving Layup (cnt PTS);78872;1005.32;1153.96;4380.63;4076.35;4068.49;4445.79;4358.5;4311.55;4448.43;4828.51;4764.48;4697.29;4682.32;4365.08;4522.73;4232.6
_1(3);[player] [dist] Layup (cnt PTS);35250;694.3;794.97;3183.83;3299.81;3079.15;3155.42;3035.85;1791.79;1704.35;1733.23;1343.75;1011.37;1022.2;910.81;626.52;690.48
_1(3);[player] [dist] Putback Layup (cnt PTS);18844;212.17;204.27;784.13;722.53;817.35;753.6;735.32;1040.27;1262.8;1289.63;1441.31;1541.56;1123.83;1166.29;1162.88;1282.05
_1(3);[player] [dist] Driving Finger Roll Layup (cnt PTS);18112;157.41;157.01;427.15;466.48;498.48;498.1;501.91;901.98;941.94;1210.37;1349.85;1629.05;1472.25;1609.22;1715.15;1666.67
_1(3);[player] Driving Layup (cnt PTS);15453;4183.27;4166.16;341.72;369.65;377.47;331.31;355.45;332.83;365.16;192.07;201.98;166.23;163.96;144.37;128.79;120.88
_1(3);[player] [dist] Running Layup (cnt PTS);14761;91.25;114.33;207.48;236.5;296.8;263.84;321.89;1017.48;980.14;1091.46;1243.14;1251.97;1224.59;1157.97;1485.61;1395.6
_1(3);[player] Layup (cnt PTS);11435;3193.92;3156.25;382.91;386.41;405.63;365.43;386.73;151.22;140.57;51.07;44.21;24.5;36.72;32.5;15.91;21.98
_1(3);[player] [dist] Tip Layup Shot (cnt PTS);10903;NA;NA;NA;NA;NA;NA;NA;1365.5;1320.09;1675.3;1883.38;1868.77;110.16;145.88;132.58;139.19
_1(3);[player] [dist] Tip Shot (cnt PTS);8933;182.51;207.32;1419.53;1287.71;1352.36;1312.36;1273.07;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(3);[player] [dist] Driving Reverse Layup (cnt PTS);8466;68.44;94.51;361.56;318.44;317.35;366.19;376.81;447.57;569.14;578.51;585.37;658.79;614.86;513.98;555.3;540.29
_1(3);[player] Tip Layup Shot (cnt PTS);7964;NA;NA;NA;NA;NA;NA;NA;239.36;207.03;7.62;5.34;3.5;1695.13;1591.84;1718.94;1826.01
_1(3);[player] Putback Layup (cnt PTS);5771;489.73;644.05;98.4;125.7;101.22;94.77;135.01;151.98;145.91;60.21;59.45;73.49;635.35;642.48;721.21;741.76
_1(3);[player] Tip Shot (cnt PTS);4912;1179.47;1409.3;209.76;236.5;222.98;251.71;273.07;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(3);[player] [dist] Reverse Layup (cnt PTS);3951;67.68;79.27;327.23;309.12;274.73;297.95;263.92;226.44;213.14;218.75;179.88;153.11;163.96;148.9;131.06;109.89
_1(3);[player] [dist] Running Finger Roll Layup (cnt PTS);3662;6.84;6.1;12.97;16.76;29.68;25.78;41.19;187.69;182.58;252.29;302.59;411.2;337.32;377.17;495.45;459.71
_1(3);[player] [dist] Finger Roll Layup (cnt PTS);2622;54.75;63.26;169.34;173.18;143.84;168.31;135.77;168.69;163.48;158.54;136.43;121.61;101.62;130.76;123.48;97.07
_1(3);[player] Driving Finger Roll Layup (cnt PTS);1740;323.19;351.37;25.17;33.52;30.44;42.46;48.05;50.91;61.88;56.4;66.31;69.12;55.51;48.37;56.82;62.27
_1(3);[player] Driving Reverse Layup (cnt PTS);1290;266.92;305.64;33.56;26.07;21.31;29.57;27.46;36.47;55;35.82;35.82;35;29.04;27.21;21.21;20.15
_1(3);[player] Running Layup (cnt PTS);1234;157.41;118.9;12.2;17.69;23.59;21.99;22.12;99.54;90.91;61.74;59.45;77.87;46.11;43.84;75;69.6
