cod;gram;cnt;s09;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24
_2(2);MISS [player] Hook Shot;151;21.29;25.15;1.53;1.86;1.52;1.52;4.58;20.52;19.86;3.05;1.52;2.62;3.42;5.29;0.76;3.66
_2(2);MISS [player] [dist] Jump Bank Hook Shot;43;4.56;6.1;2.29;2.79;8.37;4.55;4.58;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(2);MISS [player] [dist] Running Bank Hook Shot;27;2.28;2.29;NA;1.86;8.37;2.27;3.81;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(2);MISS [player] Turnaround Hook Shot;23;2.28;0.76;NA;NA;NA;NA;NA;6.08;3.82;0.76;1.52;0.87;0.85;NA;0.76;NA
_2(2);MISS [player] Driving Hook Shot;18;NA;1.52;NA;NA;0.76;NA;0.76;1.52;6.11;NA;NA;1.75;0.85;NA;NA;1.83
_2(2);MISS [player] Jump Hook Shot;16;3.8;5.34;0.76;NA;0.76;NA;1.53;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(2);MISS [player] Running Hook Shot;10;5.32;2.29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(2);MISS [player] Hook Bank Shot;4;NA;NA;NA;NA;NA;NA;NA;NA;0.76;0.76;NA;NA;NA;0.76;0.76;NA
_2(2);MISS [player] Turnaround Bank Hook Shot;3;0.76;NA;NA;NA;NA;NA;NA;0.76;0.76;NA;NA;NA;NA;NA;NA;NA
_2(2b);MISS [player] [dist] Hook Shot [player] BLOCK (cnt BLK);2500;89.73;97.56;115.18;112.66;102.74;109.17;124.33;147.42;132.16;215.7;185.21;138.23;125.53;111.87;90.15;137.36
_2(2b);MISS [player] [dist] Turnaround Hook Shot [player] BLOCK (cnt BLK);948;6.84;16.01;12.97;17.69;19.03;15.92;26.7;38.75;49.66;66.31;82.32;84.86;88.81;83.14;87.88;115.38
_2(2b);MISS [player] [dist] Driving Hook Shot [player] BLOCK (cnt BLK);633;4.56;9.91;9.15;14.9;17.5;9.86;8.39;28.12;37.43;48.02;64.79;45.49;32.45;55.18;79.55;67.77
_2(2b);MISS [player] [dist] Jump Hook Shot [player] BLOCK (cnt BLK);240;31.94;30.49;22.88;29.8;24.35;24.26;24.41;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(2b);MISS [player] [dist] Running Hook Shot [player] BLOCK (cnt BLK);160;12.17;19.05;16.02;19.55;17.5;24.26;16.78;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(2b);MISS [player] Hook Shot [player] BLOCK (cnt BLK);20;5.32;3.81;0.76;0.93;NA;NA;NA;NA;3.06;NA;NA;0.87;NA;NA;0.76;NA
_2(2b);MISS [player] [dist] Driving Bank Hook Shot [player] BLOCK (cnt BLK);8;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA;0.76;NA;NA;0.76;3.03;1.83
_2(2b);MISS [player] Turnaround Hook Shot [player] BLOCK (cnt BLK);6;0.76;NA;NA;NA;NA;NA;NA;1.52;0.76;NA;NA;0.87;0.85;NA;NA;NA
_2(2b);MISS [player] [dist] Hook Bank Shot [player] BLOCK (cnt BLK);4;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA;1.52;NA;NA;NA;0.76;NA
_2(2b);MISS [player] [dist] Turnaround Bank Hook Shot [player] BLOCK (cnt BLK);4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.76;0.87;NA;NA;0.76;1.83
_2(2b);MISS [player] Jump Hook Shot [player] BLOCK (cnt BLK);2;0.76;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(2b);MISS [player] Running Hook Shot [player] BLOCK (cnt BLK);2;0.76;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(2b);MISS [player] [dist] Jump Bank Hook Shot [player] BLOCK (cnt BLK);1;NA;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(2b);MISS [player] Driving Hook Shot [player] BLOCK (cnt BLK);1;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA;NA;NA;NA;NA;NA;NA
_2(3);MISS [player] [dist] Layup;74237;1718.63;1794.21;5852.02;6151.77;6341.7;6441.24;6490.47;4898.94;4467.53;3467.99;2878.05;2082.24;2012.81;1738.47;1228.79;1329.67
_2(3);MISS [player] [dist] Driving Layup;64233;257.79;454.27;1870.33;2006.52;2029.68;2222.14;2186.12;2868.54;3021.39;4706.55;5453.51;5706.91;5482.49;5120.18;4989.39;5245.42
_2(3);MISS [player] Layup;21754;6941.44;6386.43;525.55;575.42;526.64;463.99;469.11;313.83;285.71;48.78;40.4;27.12;31.6;16.63;16.67;9.16
_2(3);MISS [player] [dist] Tip Layup Shot;12876;NA;NA;NA;NA;NA;NA;NA;1629.18;1569.9;1754.57;2022.1;1818.9;323.65;379.44;367.42;507.33
_2(3);MISS [player] [dist] Driving Finger Roll Layup;11241;22.05;32.77;131.96;178.77;178.08;163.76;175.44;399.7;451.49;748.48;982.47;1249.34;1077.71;1249.43;1278.79;1291.21
_2(3);MISS [player] [dist] Running Layup;11053;57.03;84.6;160.95;176.91;270.93;248.67;309.69;499.24;579.83;769.82;841.46;957.13;876.17;952.38;1300;1373.63
_2(3);MISS [player] [dist] Tip Shot;10625;182.51;237.04;1585.05;1616.39;1562.4;1570.13;1629.29;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(3);MISS [player] [dist] Cutting Layup Shot;7660;NA;NA;NA;NA;NA;NA;NA;363.22;433.16;749.24;807.93;883.64;808.71;842.78;815.91;774.73
_2(3);MISS [player] [dist] Driving Reverse Layup;7138;23.57;56.4;204.42;167.6;204.72;235.78;230.36;341.19;396.49;483.99;592.99;656.17;637.06;526.83;618.18;573.26
_2(3);MISS [player] [dist] Reverse Layup;7065;100.38;92.23;475.97;463.69;464.23;420.02;446.99;420.21;419.4;458.08;432.93;330.71;329.63;280.42;289.39;278.39
_2(3);MISS [player] Tip Layup Shot;6945;NA;NA;NA;NA;NA;NA;NA;175.53;148.97;19.82;19.05;14.87;1449.19;1425.55;1546.21;1514.65
_2(3);MISS [player] Driving Layup;5931;1695.06;1663.87;70.94;70.76;101.22;87.95;97.64;124.62;139.8;76.98;105.18;83.11;87.96;61.22;57.58;58.61
_2(3);MISS [player] [dist] Putback Layup;5720;21.29;35.82;155.61;176.91;187.98;159.21;170.1;287.99;342.25;408.54;518.29;544.18;437.23;420.26;443.18;463.37
_2(3);MISS [player] Tip Shot;5156;1367.3;1584.6;167.05;203.91;197.87;206.97;234.94;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(3);MISS [player] [dist] Alley Oop Layup;3744;34.98;35.06;185.35;137.8;149.92;148.6;162.47;215.81;223.83;279.73;293.45;306.21;238.26;249.43;189.39;214.29
_2(3);MISS [player] [dist] Finger Roll Layup;2010;29.66;26.68;100.69;103.35;89.04;106.14;110.6;164.13;122.23;161.59;110.52;109.36;91.37;103.55;98.48;108.06
_2(3);MISS [player] [dist] Running Finger Roll Layup;1489;1.52;3.81;7.63;8.38;16.74;8.34;21.36;46.35;48.13;87.65;123.48;177.6;134.07;182.16;228.03;181.32
_2(3);MISS [player] Reverse Layup;1479;396.96;435.98;30.51;40.97;36.53;28.05;35.85;31.91;44.31;12.2;8.38;4.37;14.52;7.56;5.3;5.49
_2(3);MISS [player] Putback Layup;1145;95.82;109.76;9.15;19.55;19.79;17.44;19.07;20.52;20.63;13.72;13.72;10.5;143.47;156.46;146.21;179.49
_2(3);MISS [player] [dist] Running Reverse Layup;980;3.04;6.86;19.83;13.04;19.03;19.71;23.65;52.43;58.06;52.59;65.55;70.87;75.15;91.46;141.67;124.54
_2(3);MISS [player] [dist] Cutting Finger Roll Layup Shot;706;NA;NA;NA;NA;NA;NA;NA;33.43;33.61;50.3;83.08;85.74;70.03;82.39;85.61;75.09
_2(3);MISS [player] Running Layup;601;124.71;92.99;6.1;7.45;10.65;8.34;10.68;34.95;33.61;25.15;19.82;18.37;19.64;16.63;26.52;18.32
_2(3);MISS [player] Driving Reverse Layup;560;128.52;114.33;6.86;13.97;13.7;7.58;9.92;22.04;19.86;16.77;16.77;24.5;12.81;10.58;10.61;10.99
_2(3);MISS [player] Driving Finger Roll Layup;522;117.11;101.37;4.58;3.72;4.57;3.79;4.58;14.44;19.86;25.91;25.91;27.12;16.23;15.87;12.12;14.65
_2(3);MISS [player] Alley Oop Layup;496;114.83;119.66;10.68;13.04;14.46;12.13;12.2;14.44;23.68;8.38;9.15;5.25;11.96;4.54;6.06;3.66
_2(3);MISS [player] Finger Roll Layup;249;79.85;57.93;6.1;7.45;6.85;2.27;6.86;6.84;6.88;NA;2.29;0.87;4.27;0.76;1.52;1.83
_2(3);MISS [player] [dist] Running Alley Oop Layup Shot;182;NA;NA;NA;NA;NA;NA;NA;6.08;8.4;10.67;12.96;20.12;11.96;17.38;36.36;43.96
_2(3);MISS [player] Cutting Layup Shot;178;NA;NA;NA;NA;NA;NA;NA;18.24;28.27;16.01;17.53;14.87;17.08;11.34;10.61;12.82
_2(3);MISS [player] [dist] Running Tip Shot;64;NA;0.76;6.1;7.45;10.65;12.13;12.97;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(3);MISS [player] Running Finger Roll Layup;63;4.56;8.38;NA;NA;2.28;0.76;NA;3.8;3.06;0.76;4.57;7;5.98;2.27;3.03;7.33
_2(3);MISS [player] Running Reverse Layup;44;7.6;6.1;0.76;NA;0.76;2.27;1.53;2.28;2.29;2.29;1.52;1.75;1.71;0.76;1.52;1.83
_2(3);MISS [player] Cutting Finger Roll Layup Shot;17;NA;NA;NA;NA;NA;NA;NA;NA;1.53;1.52;2.29;0.87;3.42;NA;2.27;3.66
_2(3);MISS [player] Running Tip Shot;12;1.52;5.34;NA;NA;NA;NA;2.29;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(3);MISS [player] Running Alley Oop Layup Shot;8;NA;NA;NA;NA;NA;NA;NA;NA;0.76;0.76;1.52;0.87;NA;0.76;0.76;1.83
_2(3b);MISS [player] [dist] Layup [player] BLOCK (cnt BLK);46925;984.79;1060.98;3356.22;3596.83;3821.92;3605.76;3720.82;3243.92;2834.22;2389.48;1993.9;1567.8;1614.01;1421.01;1026.52;1230.77
_2(3b);MISS [player] [dist] Driving Layup [player] BLOCK (cnt BLK);32539;75.29;169.21;756.67;786.78;859.21;758.91;723.87;1224.16;1411.76;2571.65;2993.14;3165.35;3112.72;2872.26;2873.48;3087.91
_2(3b);MISS [player] Layup [player] BLOCK (cnt BLK);12485;4017.49;3947.41;225.78;260.71;243.53;223.65;221.21;158.81;146.68;24.39;19.82;15.75;23.06;10.58;15.15;7.33
_2(3b);MISS [player] [dist] Running Layup [player] BLOCK (cnt BLK);6128;19.01;22.1;61.02;62.38;87.52;71.27;113.65;258.36;321.62;407.77;480.18;548.56;511.53;597.13;837.88;954.21
_2(3b);MISS [player] [dist] Cutting Layup Shot [player] BLOCK (cnt BLK);4116;NA;NA;NA;NA;NA;NA;NA;156.53;207.79;342.23;384.91;456.69;470.54;473.17;525;534.8
_2(3b);MISS [player] [dist] Putback Layup [player] BLOCK (cnt BLK);2434;2.28;2.29;25.17;40.04;35.01;40.94;45.77;89.67;108.48;153.96;198.17;257.22;235.7;251.7;296.21;322.34
_2(3b);MISS [player] [dist] Driving Finger Roll Layup [player] BLOCK (cnt BLK);2412;0.76;2.29;13.73;27.93;19.03;15.92;19.83;73.71;87.85;167.68;211.13;272.09;281.81;265.31;302.27;344.32
_2(3b);MISS [player] Driving Layup [player] BLOCK (cnt BLK);2208;688.21;683.69;11.44;15.83;24.35;18.2;16.78;37.23;28.27;19.82;29.73;26.25;37.57;24.19;20.45;21.98
_2(3b);MISS [player] [dist] Reverse Layup [player] BLOCK (cnt BLK);2103;8.37;18.29;131.2;141.53;139.27;134.19;141.11;128.42;132.93;140.24;129.57;98.86;99.06;99.77;73.48;80.59
_2(3b);MISS [player] [dist] Driving Reverse Layup [player] BLOCK (cnt BLK);1788;11.41;14.48;52.63;43.76;40.33;40.18;47.29;82.07;91.67;129.57;150.91;182.85;146.88;151.93;164.39;137.36
_2(3b);MISS [player] Putback Layup [player] BLOCK (cnt BLK);398;30.42;28.2;1.53;7.45;3.04;6.82;4.58;12.16;11.46;3.81;3.05;7;49.53;49.13;62.88;69.6
_2(3b);MISS [player] [dist] Running Finger Roll Layup [player] BLOCK (cnt BLK);386;NA;NA;NA;NA;0.76;NA;1.53;9.88;9.17;22.87;28.96;37.62;36.72;64.25;60.61;71.43
_2(3b);MISS [player] Reverse Layup [player] BLOCK (cnt BLK);331;95.06;100.61;8.39;3.72;6.09;3.03;6.86;9.12;6.11;3.05;2.29;2.62;2.56;3.02;0.76;NA
_2(3b);MISS [player] [dist] Tip Layup Shot [player] BLOCK (cnt BLK);298;NA;NA;NA;NA;NA;NA;NA;24.32;22.92;35.06;44.21;35.87;14.52;21.16;21.21;32.97
_2(3b);MISS [player] [dist] Finger Roll Layup [player] BLOCK (cnt BLK);260;0.76;1.52;7.63;11.17;10.65;6.07;6.86;22.8;20.63;27.44;14.48;21;17.08;14.36;13.64;20.15
_2(3b);MISS [player] Running Layup [player] BLOCK (cnt BLK);225;44.11;25.15;0.76;0.93;0.76;2.27;2.29;13.68;15.28;9.91;12.2;14.87;14.52;4.54;5.3;20.15
_2(3b);MISS [player] [dist] Alley Oop Layup [player] BLOCK (cnt BLK);205;NA;0.76;4.58;8.38;3.04;4.55;7.63;15.2;15.28;15.24;19.05;17.5;18.79;14.36;12.88;10.99
_2(3b);MISS [player] [dist] Running Reverse Layup [player] BLOCK (cnt BLK);205;1.52;NA;6.1;2.79;1.52;3.03;8.39;10.64;9.93;20.58;8.38;15.75;20.5;18.14;21.97;27.47
_2(3b);MISS [player] Tip Layup Shot [player] BLOCK (cnt BLK);143;NA;NA;NA;NA;NA;NA;NA;4.56;2.29;1.52;0.76;0.87;23.06;28.72;25.76;56.78
_2(3b);MISS [player] Driving Reverse Layup [player] BLOCK (cnt BLK);142;32.7;29.73;2.29;1.86;1.52;3.79;2.29;4.56;4.58;3.81;2.29;7;5.98;3.02;3.03;3.66
_2(3b);MISS [player] [dist] Cutting Finger Roll Layup Shot [player] BLOCK (cnt BLK);127;NA;NA;NA;NA;NA;NA;NA;3.04;6.11;9.15;12.2;13.12;15.37;17.38;15.91;18.32
_2(3b);MISS [player] [dist] Tip Shot [player] BLOCK (cnt BLK);112;2.28;3.05;21.36;13.04;15.22;16.68;16.02;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(3b);MISS [player] Driving Finger Roll Layup [player] BLOCK (cnt BLK);92;18.25;19.05;NA;NA;0.76;NA;2.29;2.28;1.53;6.1;5.34;3.5;5.98;2.27;3.03;1.83
_2(3b);MISS [player] Cutting Layup Shot [player] BLOCK (cnt BLK);72;NA;NA;NA;NA;NA;NA;NA;6.08;4.58;3.81;12.96;10.5;6.83;8.31;1.52;5.49
_2(3b);MISS [player] Tip Shot [player] BLOCK (cnt BLK);46;8.37;15.24;2.29;1.86;1.52;1.52;4.58;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(3b);MISS [player] Finger Roll Layup [player] BLOCK (cnt BLK);20;3.8;6.1;0.76;NA;NA;0.76;NA;0.76;NA;0.76;NA;NA;2.56;NA;NA;NA
_2(3b);MISS [player] Alley Oop Layup [player] BLOCK (cnt BLK);17;2.28;4.57;0.76;NA;NA;NA;NA;NA;0.76;0.76;1.52;0.87;NA;NA;1.52;NA
_2(3b);MISS [player] [dist] Running Alley Oop Layup Shot [player] BLOCK (cnt BLK);14;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA;2.62;2.56;3.02;0.76;3.66
_2(3b);MISS [player] Running Reverse Layup [player] BLOCK (cnt BLK);9;0.76;0.76;NA;NA;NA;NA;NA;1.52;NA;NA;NA;NA;NA;1.51;1.52;1.83
_2(3b);MISS [player] Running Finger Roll Layup [player] BLOCK (cnt BLK);8;NA;1.52;NA;NA;NA;NA;NA;0.76;0.76;NA;0.76;NA;1.71;NA;0.76;NA
_2(3b);MISS [player] Cutting Finger Roll Layup Shot [player] BLOCK (cnt BLK);2;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA;NA;0.87;NA;NA;NA;NA
_2(4);MISS [player] [dist] Jump Shot;369612;32575.67;31692.84;32818.46;32461.82;30035.77;28952.24;27770.4;22132.98;18398.01;10429.88;6569.36;4337.71;4023.06;2946.33;2263.64;2152.01
_2(4);MISS [player] [dist] Pullup Jump Shot;74334;678.33;907.77;1206.71;1261.64;1388.89;1577.71;1712.43;3547.87;4303.28;6389.48;6669.97;6255.47;6588.39;6724.11;6575;6020.15
_2(4);MISS [player] [dist] Driving Floating Jump Shot;32434;NA;NA;NA;NA;NA;NA;NA;803.95;1182.58;2184.45;3144.82;3892.39;3989.75;4085.41;4527.27;4274.73
_2(4);MISS [player] [dist] Floating Jump Shot;28409;339.92;481.71;725.4;813.78;918.57;949.96;1090.01;2040.27;1869.37;2152.44;2095.27;2202.97;2209.22;1944.82;1752.27;1684.98
_2(4);MISS [player] [dist] Fadeaway Jumper;27036;1186.31;1153.96;1250.19;1328.68;1094.37;1090.22;1026.7;1275.08;1183.35;1528.2;1657.01;1548.56;1515.8;1790.63;1737.88;1941.39
_2(4);MISS [player] [dist] Turnaround Jump Shot;26101;1355.13;1292.68;1313.5;1391.99;1420.85;1237.3;1257.06;1543.31;1352.18;1454.27;1385.67;1308.84;1244.24;1257.75;1104.55;1203.3
_2(4);MISS [player] [dist] Step Back Jump Shot;23613;263.12;391.77;482.84;526.07;675.04;853.68;1003.81;1412.61;1352.18;1717.99;1833.08;1839.02;1818.96;1851.85;1771.21;1681.32
_2(4);MISS [player] [dist] Turnaround Fadeaway Shot;15915;346.77;374.24;375.29;460.89;509.89;448.82;508.01;715.05;770.82;1016.01;1134.15;1148.73;1187.02;1343.92;1489.39;1529.3
_2(4);MISS [player] [dist] Running Jump Shot;14203;1353.61;1307.93;1321.89;1367.78;1277.78;1433.66;1371.47;503.8;391.14;221.8;152.44;98.86;65.76;77.1;90.91;108.06
_2(4);MISS [player] [dist] Driving Floating Bank Jump Shot;8385;NA;NA;NA;NA;NA;NA;NA;177.81;275.02;622.71;846.8;1014;922.29;1016.63;1253.79;1142.86
_2(4);MISS [player] [dist] Jump Bank Shot;7440;469.2;509.15;557.59;553.07;468.04;438.97;451.56;610.94;470.59;324.7;281.25;236.22;172.5;132.28;106.82;75.09
_2(4);MISS [player] [dist] Driving Jump Shot;3621;77.57;168.45;415.71;375.23;528.16;638.36;617.85;2.28;0.76;NA;NA;NA;NA;NA;NA;NA
_2(4);MISS [player] [dist] Running Bank Shot;1511;105.7;123.48;131.96;173.18;184.93;222.9;239.51;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(4);MISS [player] [dist] Turnaround Fadeaway Bank Jump Shot;1368;NA;NA;NA;NA;NA;NA;NA;25.84;13.75;194.36;221.8;210.85;163.96;207.11;32.58;36.63
_2(4);MISS [player] [dist] Turnaround Bank Shot;1158;57.79;70.88;61.78;77.28;82.19;81.12;77.8;125.38;116.88;NA;NA;NA;NA;NA;93.18;122.71
_2(4);MISS [player] [dist] Running Pull-Up Jump Shot;1152;NA;NA;NA;NA;NA;NA;NA;46.35;69.52;87.65;77.74;93.61;86.25;130.01;220.45;205.13
_2(4);MISS [player] [dist] Driving Bank Shot;1015;6.84;14.48;22.12;48.42;56.32;46.25;85.43;278.12;223.83;NA;NA;NA;NA;NA;NA;NA
_2(4);MISS [player] [dist] Pullup Bank Shot;431;12.93;13.72;25.93;21.42;28.16;18.95;32.04;80.55;98.55;NA;NA;NA;NA;NA;NA;NA
_2(4);MISS [player] [dist] Fadeaway Bank Shot;416;17.49;22.1;10.68;25.14;21.31;25.02;20.59;37.23;41.25;NA;NA;NA;NA;NA;68.18;76.92
_2(4);MISS [player] [dist] Step Back Bank Jump Shot;182;NA;NA;NA;NA;NA;NA;NA;8.36;11.46;18.29;22.87;17.5;21.35;21.92;13.64;18.32
_2(4);MISS [player] [dist] No Shot;56;NA;NA;NA;NA;NA;NA;NA;NA;42.78;NA;NA;NA;NA;NA;NA;NA
_2(4);MISS [player] Jump Shot;40;11.41;6.86;0.76;NA;NA;NA;0.76;0.76;NA;0.76;3.05;3.5;0.85;0.76;1.52;NA
_2(4);MISS [player] Floating Jump Shot;26;1.52;1.52;NA;NA;NA;NA;NA;NA;NA;1.52;2.29;1.75;2.56;4.54;1.52;7.33
_2(4);MISS [player] [dist] Shot;20;NA;NA;NA;NA;NA;NA;NA;3.04;12.22;NA;NA;NA;NA;NA;NA;NA
_2(4);MISS [player] Driving Floating Bank Jump Shot;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.76;2.29;0.87;1.71;1.51;0.76;1.83
_2(4);MISS [player] Running Jump Shot;11;3.8;2.29;NA;NA;NA;NA;0.76;NA;NA;NA;NA;NA;0.85;NA;0.76;NA
_2(4);MISS [player] Driving Floating Jump Shot;10;NA;NA;NA;NA;NA;NA;NA;NA;0.76;0.76;1.52;1.75;0.85;NA;1.52;1.83
_2(4);MISS [player] Turnaround Jump Shot;5;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA;0.76;NA;NA;0.76;1.52;NA
_2(4);MISS [player] Driving Jump Shot;4;0.76;0.76;NA;NA;0.76;NA;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(4);MISS [player] Jump Bank Shot;4;1.52;NA;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA;NA
_2(4);MISS [player] Fadeaway Jumper;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA;NA;NA;NA;0.76;1.83
_2(4);MISS [player] No Shot;2;NA;NA;NA;NA;NA;NA;NA;NA;1.53;NA;NA;NA;NA;NA;NA;NA
_2(4);MISS [player] Shot;2;NA;NA;NA;NA;NA;NA;NA;1.52;NA;NA;NA;NA;NA;NA;NA;NA
_2(4);MISS [player] Turnaround Fadeaway Shot;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.85;NA;0.76;NA
_2(4);MISS [player] Pullup Jump Shot;1;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(4);MISS [player] Step Back Jump Shot;1;NA;NA;NA;NA;NA;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(4b);MISS [player] [dist] Jump Shot [player] BLOCK (cnt BLK);39937;2533.08;2589.18;3857.36;3899.44;3610.35;3109.93;3183.07;2787.99;2371.28;1020.58;712.65;495.19;480.79;300.08;173.48;261.9
_2(4b);MISS [player] [dist] Driving Floating Jump Shot [player] BLOCK (cnt BLK);4071;NA;NA;NA;NA;NA;NA;NA;153.5;178.76;261.43;355.95;426.07;501.28;502.65;597.73;543.96
_2(4b);MISS [player] [dist] Pullup Jump Shot [player] BLOCK (cnt BLK);2836;11.41;14.48;17.54;21.42;24.35;23.5;34.32;110.94;139.8;230.18;260.67;250.22;276.69;325.77;342.42;333.33
_2(4b);MISS [player] [dist] Turnaround Jump Shot [player] BLOCK (cnt BLK);2677;104.18;98.32;105.26;132.22;89.8;104.62;92.3;134.5;106.95;165.4;169.21;157.48;179.33;191.23;187.12;197.8
_2(4b);MISS [player] [dist] Running Jump Shot [player] BLOCK (cnt BLK);1931;171.1;141.01;192.98;161.08;179.6;167.55;172.39;103.34;99.31;29.73;32.77;14;8.54;12.85;12.12;9.16
_2(4b);MISS [player] [dist] Floating Jump Shot [player] BLOCK (cnt BLK);1674;12.17;13.72;23.65;27;35.01;28.05;36.61;123.1;110.01;139.48;147.87;134.73;136.64;151.17;129.55;148.35
_2(4b);MISS [player] [dist] Driving Jump Shot [player] BLOCK (cnt BLK);1275;35.74;57.16;180.78;163.87;174.28;196.36;189.93;1.52;0.76;NA;NA;NA;NA;NA;NA;NA
_2(4b);MISS [player] [dist] Fadeaway Jumper [player] BLOCK (cnt BLK);1020;24.33;36.59;48.82;32.59;42.62;32.6;28.99;39.51;46.6;60.98;73.17;71.74;58.07;83.14;78.79;93.41
_2(4b);MISS [player] [dist] Turnaround Fadeaway Shot [player] BLOCK (cnt BLK);454;15.21;6.86;9.92;15.83;12.18;9.86;13.73;17.48;12.99;32.77;35.06;35.87;35.87;50.64;37.12;36.63
_2(4b);MISS [player] [dist] Step Back Jump Shot [player] BLOCK (cnt BLK);412;6.08;5.34;5.34;7.45;7.61;7.58;14.49;26.6;18.33;32.01;35.06;29.75;35.87;30.23;43.94;40.29
_2(4b);MISS [player] [dist] Driving Floating Bank Jump Shot [player] BLOCK (cnt BLK);149;NA;NA;NA;NA;NA;NA;NA;1.52;4.58;9.91;13.72;10.5;16.23;13.61;31.06;36.63
_2(4b);MISS [player] [dist] Jump Bank Shot [player] BLOCK (cnt BLK);73;1.52;2.29;4.58;5.59;3.04;6.07;3.81;6.84;5.35;3.05;2.29;3.5;5.12;3.02;0.76;1.83
_2(4b);MISS [player] [dist] Running Pull-Up Jump Shot [player] BLOCK (cnt BLK);58;NA;NA;NA;NA;NA;NA;NA;0.76;1.53;0.76;7.62;4.37;3.42;9.83;11.36;12.82
_2(4b);MISS [player] [dist] Driving Bank Shot [player] BLOCK (cnt BLK);23;NA;NA;NA;2.79;NA;0.76;0.76;9.88;3.82;NA;NA;NA;NA;NA;NA;NA
_2(4b);MISS [player] Jump Shot [player] BLOCK (cnt BLK);15;3.8;3.05;NA;NA;NA;NA;NA;0.76;NA;NA;0.76;0.87;0.85;0.76;NA;1.83
_2(4b);MISS [player] Running Jump Shot [player] BLOCK (cnt BLK);11;3.8;4.57;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(4b);MISS [player] [dist] Running Bank Shot [player] BLOCK (cnt BLK);8;NA;1.52;0.76;NA;NA;1.52;2.29;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(4b);MISS [player] [dist] Turnaround Bank Shot [player] BLOCK (cnt BLK);8;NA;NA;0.76;0.93;NA;NA;0.76;2.28;NA;NA;NA;NA;NA;NA;NA;3.66
_2(4b);MISS [player] [dist] Turnaround Fadeaway Bank Jump Shot [player] BLOCK (cnt BLK);8;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.29;0.76;0.87;NA;2.27;NA;NA
_2(4b);MISS [player] [dist] No Shot [player] BLOCK (cnt BLK);6;NA;NA;NA;NA;NA;NA;NA;NA;4.58;NA;NA;NA;NA;NA;NA;NA
_2(4b);MISS [player] [dist] Fadeaway Bank Shot [player] BLOCK (cnt BLK);4;NA;0.76;0.76;NA;NA;NA;1.53;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(4b);MISS [player] Turnaround Jump Shot [player] BLOCK (cnt BLK);4;NA;1.52;NA;NA;NA;NA;NA;NA;NA;NA;0.76;0.87;NA;NA;NA;NA
_2(4b);MISS [player] [dist] Pullup Bank Shot [player] BLOCK (cnt BLK);3;NA;NA;NA;NA;NA;NA;0.76;1.52;NA;NA;NA;NA;NA;NA;NA;NA
_2(4b);MISS [player] No Shot [player] BLOCK (cnt BLK);3;NA;NA;NA;NA;NA;NA;NA;NA;2.29;NA;NA;NA;NA;NA;NA;NA
_2(4b);MISS [player] Driving Floating Bank Jump Shot [player] BLOCK (cnt BLK);2;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA;0.87;NA;NA;NA;NA
_2(4b);MISS [player] Driving Floating Jump Shot [player] BLOCK (cnt BLK);2;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA;NA;NA;0.76;NA;NA
